Values
76
0
81
0
0
0
83
84
86
84
84
83
83
81
81
80
81
0
0
0
83
84
86
0
0
0
88
0
84
0
0
83
83
81
81
80
81
0
0
0
83
81
80
0
0
0
81
0
77
0
0
65
75
72
80
81
65
27
-8
-10
40
52
60
1
2
-7
75
4
74
24
28
57
68
54
63
50
35
3
-6
-1
25
24
59
1
31
-6
26
-6
29
1
16
1
41
-1
18
2
52
0
38
2
60
-2
49
0
51
-4
40
-5
13
-4
1
-2
32
-9
-16
-5
11
-5
6
-2
42
-4
26
-2
54
-1
42
-1
61
-1
45
0
49
-3
24
-3
6
-5
-8
-1
35
-5
-4
-7
15
-5
2
-4
44
-2
